date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
19:55:37	171852/171852	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2030%20Dec%202024%2015:03:32%20GMT	https://gb-mundial.com/assets/Content/fonts/Roboto.eot	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/Roboto.eot	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:37	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Nov%202025%2022:55:38%20GMT	https://gb-mundial.com/assets/Content/fonts/Roboto-1.eot	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/Roboto-1.eot	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:38	93788/93788	---M--	200	added ('OK')	font/woff	date:Mon,%2030%20Dec%202024%2015:03:58%20GMT	https://gb-mundial.com/assets/Content/fonts/Roboto.woff	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/Roboto.woff	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:38	171676/171676	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2030%20Dec%202024%2015:04:07%20GMT	https://gb-mundial.com/assets/Content/fonts/Roboto.ttf	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/Roboto.ttf	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:39	170940/170940	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	date:Mon,%2030%20Dec%202024%2015:04:18%20GMT	https://gb-mundial.com/assets/Content/fonts/RobotoBold.eot	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/RobotoBold.eot	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:39	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Nov%202025%2022:55:39%20GMT	https://gb-mundial.com/assets/Content/fonts/RobotoBold-1.eot	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/RobotoBold-1.eot	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:39	94040/94040	---M--	200	added ('OK')	font/woff	date:Mon,%2030%20Dec%202024%2015:04:38%20GMT	https://gb-mundial.com/assets/Content/fonts/RobotoBold.woff	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/RobotoBold.woff	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:40	170760/170760	---MCZ	200	added ('OK')	font/ttf	date:Mon,%2030%20Dec%202024%2015:04:47%20GMT	https://gb-mundial.com/assets/Content/fonts/RobotoBold.ttf	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/RobotoBold.ttf	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:40	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Nov%202025%2022:55:40%20GMT	https://gb-mundial.com/assets/Content/fonts/DoHyeon-Regular.eot	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/DoHyeon-Regular.eot	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:40	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Nov%202025%2022:55:40%20GMT	https://gb-mundial.com/assets/Content/fonts/DoHyeon-Regular-1.eot	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/DoHyeon-Regular-1.eot	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:40	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Nov%202025%2022:55:40%20GMT	https://gb-mundial.com/assets/Content/fonts/DoHyeon-Regular.woff	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/DoHyeon-Regular.woff	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:41	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Nov%202025%2022:55:41%20GMT	https://gb-mundial.com/assets/Content/fonts/DoHyeon-Regular.ttf	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/Content/fonts/DoHyeon-Regular.ttf	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:41	102337/102337	---M--	200	added ('OK')	image/png	date:Sat,%2011%20Jan%202025%2002:16:33%20GMT	https://gb-mundial.com/assets/img/common/sp_common.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/sp_common.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:41	923/923	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Mar%202019%2002:13:20%20GMT	https://gb-mundial.com/assets/img/common/bg_line_hedaer.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/bg_line_hedaer.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:41	1038/1038	---M--	200	added ('OK')	image/png	date:Wed,%2013%20Mar%202019%2007:20:56%20GMT	https://gb-mundial.com/assets/img/common/bg_nav_line.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/bg_nav_line.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:41	26830/26830	---M--	200	added ('OK')	image/png	date:Wed,%2011%20Dec%202024%2022:42:30%20GMT	https://gb-mundial.com/assets/img/common/banner_tip.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/banner_tip.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:41	1112609/1112609	---M--	200	added ('OK')	image/png	date:Mon,%2022%20Apr%202019%2006:06:41%20GMT	https://gb-mundial.com/assets/img/common/bg_gamestart1.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/bg_gamestart1.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:42	6972/6972	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Dec%202024%2000:17:09%20GMT	https://gb-mundial.com/assets/img/common/btn_gamestart.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/btn_gamestart.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:42	7020/7020	---M--	200	added ('OK')	image/png	date:Thu,%2012%20Dec%202024%2000:16:52%20GMT	https://gb-mundial.com/assets/img/common/btn_gamestart_over.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/btn_gamestart_over.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:42	5972/5972	---M--	200	added ('OK')	image/png	date:Fri,%2017%20May%202019%2001:20:51%20GMT	https://gb-mundial.com/assets/img/common/bg_start_glow.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/bg_start_glow.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:42	2932/2932	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202019%2008:06:35%20GMT	https://gb-mundial.com/assets/img/common/bg_loginfo.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/bg_loginfo.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:43	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Nov%202025%2022:55:43%20GMT	https://gb-mundial.com/assets/ca/common/gameid/logwrap_no_id_bg.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/ca/common/gameid/logwrap_no_id_bg.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:43	5972/5972	---M--	200	added ('OK')	image/png	date:Tue,%2012%20Mar%202019%2009:00:17%20GMT	https://gb-mundial.com/assets/img/common/cover_avatar.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/cover_avatar.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:43	1755/1755	---MCZ	404	error ('Not%20Found')	text/html	date:Sat,%2015%20Nov%202025%2022:55:44%20GMT	https://gb-mundial.com/assets/ca/common/gameid/content.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/ca/common/gameid/content.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:44	1133/1133	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202019%2003:16:49%20GMT	https://gb-mundial.com/assets/img/common/icon_select_dn.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/icon_select_dn.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:44	1114/1114	---M--	200	added ('OK')	image/png	date:Thu,%2014%20Mar%202019%2003:17:12%20GMT	https://gb-mundial.com/assets/img/common/icon_select_up.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/icon_select_up.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
19:55:44	7084/7084	---M--	200	added ('OK')	image/png	date:Fri,%2010%20Jan%202025%2023:55:53%20GMT	https://gb-mundial.com/assets/img/common/spr_popup.png	C:/My%20Web%20Sites/gb-mundial/gb-mundial.com/assets/img/common/spr_popup.png	(from https://gb-mundial.com/assets/css/ca/2019/common_v3.css?v=231221)
